,index,date,rank,song_name,song_id,album_name,artist,release_date
35,35,2021-11-17 02:17:59.933,36,22 (Taylor's Version),3yII7UwgLF6K5zW3xad3MP,Red (Taylor's Version),Taylor Swift,2021-11-12
36,36,2021-11-17 02:17:59.933,37,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),4CkgMiMqZ5JzW9iYXSTMTL,Red (Taylor's Version),Taylor Swift,2021-11-12
37,37,2021-11-17 02:17:59.933,38,MONTERO (Call Me By Your Name),1SC5rEoYDGUK4NfG82494W,MONTERO,Lil Nas X,2021-09-17
38,38,2021-11-17 02:17:59.933,39,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),4gzsuuZypVbxs0Af1LSZyB,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,2021-10-05
39,39,2021-11-17 02:17:59.933,40,Do It To It,20on25jryn53hWghthWWW3,Do It To It,ACRAZE,2021-08-20
40,40,2021-11-17 02:17:59.933,41,We Are Never Ever Getting Back Together (Taylor's Version),5YqltLsjdqFtvqE7Nrysvs,Red (Taylor's Version),Taylor Swift,2021-11-12
41,41,2021-11-17 02:17:59.933,42,Life Goes On,0eu4C55hL6x29mmeAjytzC,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",Oliver Tree,2021-05-28
42,42,2021-11-17 02:17:59.933,43,Treacherous (Taylor's Version),3S7HNKPakdwNEBFIVTL6dZ,Red (Taylor's Version),Taylor Swift,2021-11-12
43,43,2021-11-17 02:17:59.933,44,Ghost,6I3mqTwhRpn34SLVafSH7G,Justice,Justin Bieber,2021-03-19
44,44,2021-11-17 02:17:59.933,45,Yonaguni,2JPLbjOn0wPCngEot2STUS,Yonaguni,Bad Bunny,2021-06-04
45,45,2021-11-17 02:17:59.933,46,Message In A Bottle (Taylor's Version) (From The Vault),3z6XUommYDWPHeFhmhhT6j,Red (Taylor's Version),Taylor Swift,2021-11-12
46,46,2021-11-17 02:17:59.933,47,Where Are You Now,3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,Lost Frequencies,2021-07-30
